Number of words,9257
Number of unique words,1106
Average word frequency,8.369801
Entropy,6.534286

Word,Frequency,Proportion,Entropy Term
dama,3,0.000324,0.002604
lilia,3,0.000324,0.002604
paredes,30,0.003241,0.018576
población,12,0.001296,0.008618
vacunatón,21,0.002269,0.013812
vacuna,27,0.002917,0.017026
josé,21,0.002269,0.013812
colegio,10,0.001080,0.007379
profesional,4,0.000432,0.003347
perú,105,0.011343,0.050806
periodo,4,0.000432,0.003347
españa,6,0.000648,0.004758
georgia,5,0.000540,0.004064
clasificatoria,3,0.000324,0.002604
mundial,13,0.001404,0.009224
catar,10,0.001080,0.007379
italia,4,0.000432,0.003347
empate,4,0.000432,0.003347
récord,5,0.000540,0.004064
partido,104,0.011235,0.050430
clasificatorias,12,0.001296,0.008618
día,63,0.006806,0.033960
internacional,12,0.001296,0.008618
mujer,43,0.004645,0.024953
indígena,8,0.000864,0.006096
rumbo,9,0.000972,0.006743
república,10,0.001080,0.007379
alemania,3,0.000324,0.002604
público,8,0.000864,0.006096
liderazgo,4,0.000432,0.003347
grupo,40,0.004321,0.023525
j,3,0.000324,0.002604
miembro,7,0.000756,0.005435
personal,4,0.000432,0.003347
seguridad,9,0.000972,0.006743
interior,8,0.000864,0.006096
estadio,27,0.002917,0.017026
nacional,38,0.004105,0.022559
exportación,7,0.000756,0.005435
julio,4,0.000432,0.003347
frente,11,0.001188,0.008003
mes,23,0.002485,0.014902
mayores,5,0.000540,0.004064
precio,7,0.000756,0.005435
resultado,11,0.001188,0.008003
noticia,4,0.000432,0.003347
madre,16,0.001728,0.010994
dios,7,0.000756,0.005435
conmebol,16,0.001728,0.010994
suspensión,33,0.003565,0.020094
autoridad,26,0.002809,0.016501
encuentro,12,0.001296,0.008618
brasil,126,0.013611,0.058486
argentina,116,0.012531,0.054880
eliminatorias,86,0.009290,0.043467
jugador,28,0.003025,0.017546
premier,17,0.001836,0.011569
league,9,0.000972,0.006743
información,12,0.001296,0.008618
ingreso,15,0.001620,0.010411
país,43,0.004645,0.024953
atención,9,0.000972,0.006743
consulta,6,0.000648,0.004758
examen,28,0.003025,0.017546
admisión,27,0.002917,0.017026
universidad,5,0.000540,0.004064
san,27,0.002917,0.017026
marcos,12,0.001296,0.008618
qatar,43,0.004645,0.024953
galería,4,0.000432,0.003347
foto,17,0.001836,0.011569
efe,3,0.000324,0.002604
brasilargentina,5,0.000540,0.004064
tuit,4,0.000432,0.003347
albiceleste,8,0.000864,0.006096
región,44,0.004753,0.025424
cusco,9,0.000972,0.006743
caso,39,0.004213,0.023043
variante,15,0.001620,0.010411
delta,5,0.000540,0.004064
distrito,12,0.001296,0.008618
sebastián,3,0.000324,0.002604
gobernador,3,0.000324,0.002604
jean,9,0.000972,0.006743
paul,6,0.000648,0.004758
presidente,60,0.006482,0.032659
carlos,12,0.001296,0.008618
comisión,23,0.002485,0.014902
proceso,13,0.001404,0.009224
carrera,5,0.000540,0.004064
concurso,8,0.000864,0.006096
beca,3,0.000324,0.002604
institución,6,0.000648,0.004758
regulador,3,0.000324,0.002604
selección,40,0.004321,0.023525
gol,7,0.000756,0.005435
clásico,4,0.000432,0.003347
américa,14,0.001512,0.009821
arena,6,0.000648,0.004758
sao,3,0.000324,0.002604
paulo,4,0.000432,0.003347
israel,4,0.000432,0.003347
puerta,9,0.000972,0.006743
turista,5,0.000540,0.004064
ola,6,0.000648,0.004758
juan,9,0.000972,0.006743
lurigancho,6,0.000648,0.004758
rodríguez,4,0.000432,0.003347
niño,21,0.002269,0.013812
programa,18,0.001944,0.012139
museo,5,0.000540,0.004064
hora,31,0.003349,0.019085
gratis,3,0.000324,0.002604
maría,23,0.002485,0.014902
garcía,5,0.000540,0.004064
vida,28,0.003025,0.017546
empresa,4,0.000432,0.003347
méxico,42,0.004537,0.024480
paso,8,0.000864,0.006096
caravana,5,0.000540,0.004064
migrant,16,0.001728,0.010994
us,7,0.000756,0.005435
millón,43,0.004645,0.024953
monto,3,0.000324,0.002604
inglaterra,9,0.000972,0.006743
andorra,4,0.000432,0.003347
retorno,6,0.000648,0.004758
aula,3,0.000324,0.002604
setiembre,39,0.004213,0.023043
judicial,4,0.000432,0.003347
audiencia,8,0.000864,0.006096
esterilización,4,0.000432,0.003347
condición,9,0.000972,0.006743
clase,10,0.001080,0.007379
medida,11,0.001188,0.008003
forma,5,0.000540,0.004064
vuelta,4,0.000432,0.003347
lingard,3,0.000324,0.002604
gobierno,55,0.005941,0.030455
deportación,4,0.000432,0.003347
futbolista,11,0.001188,0.008003
peru,3,0.000324,0.002604
of,4,0.000432,0.003347
peruana,12,0.001296,0.008618
venezuela,72,0.007778,0.037773
lima,81,0.008750,0.041464
callao,40,0.004321,0.023525
huancavelica,4,0.000432,0.003347
planta,11,0.001188,0.008003
oxígeno,10,0.001080,0.007379
juegos,15,0.001620,0.010411
paralímpicos,10,0.001080,0.007379
tokio,7,0.000756,0.005435
clave,7,0.000756,0.005435
autogestión,3,0.000324,0.002604
rol,3,0.000324,0.002604
familia,21,0.002269,0.013812
comunidad,7,0.000756,0.005435
libre,13,0.001404,0.009224
Ética,10,0.001080,0.007379
presidencia,8,0.000864,0.006096
congresista,12,0.001296,0.008618
cruz,4,0.000432,0.003347
guinea,7,0.000756,0.005435
cajamarca,5,0.000540,0.004064
centro,20,0.002161,0.013260
Ángeles,5,0.000540,0.004064
proyecto,9,0.000972,0.006743
provincia,4,0.000432,0.003347
miguel,5,0.000540,0.004064
cuestión,5,0.000540,0.004064
omar,3,0.000324,0.002604
ley,12,0.001296,0.008618
evento,4,0.000432,0.003347
arequipa,14,0.001512,0.009821
piura,7,0.000756,0.005435
vacunación,40,0.004321,0.023525
año,161,0.017392,0.070469
metropolitana,11,0.001188,0.008003
ica,21,0.002269,0.013812
acceso,3,0.000324,0.002604
internet,6,0.000648,0.004758
app,3,0.000324,0.002604
acción,11,0.001188,0.008003
popular,13,0.001404,0.009224
viento,4,0.000432,0.003347
vivienda,3,0.000324,0.002604
ayuda,6,0.000648,0.004758
nota,9,0.000972,0.006743
jefa,3,0.000324,0.002604
ceremonia,6,0.000648,0.004758
clausura,6,0.000648,0.004758
mecanismo,3,0.000324,0.002604
elección,5,0.000540,0.004064
magistrado,4,0.000432,0.003347
tc,4,0.000432,0.003347
parís,3,0.000324,0.002604
relevo,3,0.000324,0.002604
ejecución,5,0.000540,0.004064
aeropuerto,6,0.000648,0.004758
chinchero,3,0.000324,0.002604
herido,6,0.000648,0.004758
incapacidad,3,0.000324,0.002604
destino,4,0.000432,0.003347
sudamérica,3,0.000324,0.002604
Óscar,3,0.000324,0.002604
turismo,5,0.000540,0.004064
sector,14,0.001512,0.009821
cultura,5,0.000540,0.004064
protección,7,0.000756,0.005435
sinopharm,6,0.000648,0.004758
inflación,3,0.000324,0.002604
latinoamérica,5,0.000540,0.004064
ministro,22,0.002377,0.014360
inicio,5,0.000540,0.004064
pueblo,23,0.002485,0.014902
ciro,5,0.000540,0.004064
gálvez,5,0.000540,0.004064
participación,3,0.000324,0.002604
medalla,3,0.000324,0.002604
oro,5,0.000540,0.004064
vídeo,3,0.000324,0.002604
jornada,19,0.002053,0.012702
director,20,0.002161,0.013260
función,4,0.000432,0.003347
lengua,3,0.000324,0.002604
signo,12,0.001296,0.008618
bosque,3,0.000324,0.002604
piedra,3,0.000324,0.002604
uruguay,12,0.001296,0.008618
triunfo,10,0.001080,0.007379
bolivia,9,0.000972,0.006743
movistar,23,0.002485,0.014902
deportes,9,0.000972,0.006743
canal,18,0.001944,0.012139
paraguay,11,0.001188,0.008003
colombia,20,0.002161,0.013260
posibilidad,4,0.000432,0.003347
ecuador,26,0.002809,0.016501
chile,28,0.003025,0.017546
lunes,12,0.001296,0.008618
organización,4,0.000432,0.003347
coronavirus,39,0.004213,0.023043
eliminatoria,3,0.000324,0.002604
peruano,15,0.001620,0.010411
latina,3,0.000324,0.002604
fútbol,6,0.000648,0.004758
horas,5,0.000540,0.004064
alianza,16,0.001728,0.010994
título,4,0.000432,0.003347
copa,7,0.000756,0.005435
femenina,5,0.000540,0.004064
final,10,0.001080,0.007379
eeuu,19,0.002053,0.012702
pandemia,30,0.003241,0.018576
viaje,4,0.000432,0.003347
contagio,7,0.000756,0.005435
fecha,50,0.005401,0.028201
persona,75,0.008102,0.039016
alejandra,10,0.001080,0.007379
dato,3,0.000324,0.002604
dosis,36,0.003889,0.021582
europa,4,0.000432,0.003347
urgencia,4,0.000432,0.003347
reto,7,0.000756,0.005435
joven,15,0.001620,0.010411
estrategia,6,0.000648,0.004758
talento,3,0.000324,0.002604
adolescente,7,0.000756,0.005435
comorbilidad,4,0.000432,0.003347
cambio,14,0.001512,0.009821
valle,5,0.000540,0.004064
colca,4,0.000432,0.003347
agenda,4,0.000432,0.003347
actividad,7,0.000756,0.005435
congreso,22,0.002377,0.014360
cuba,4,0.000432,0.003347
sistema,7,0.000756,0.005435
alerta,5,0.000540,0.004064
objetivo,8,0.000864,0.006096
costa,8,0.000864,0.006096
mensaje,12,0.001296,0.008618
vania,22,0.002377,0.014360
bludau,22,0.002377,0.014360
reinas,71,0.007670,0.037356
show,90,0.009722,0.045047
directora,6,0.000648,0.004758
inmunización,13,0.001404,0.009224
minsa,29,0.003133,0.018063
mañana,5,0.000540,0.004064
equipo,20,0.002161,0.013260
gian,4,0.000432,0.003347
piero,4,0.000432,0.003347
díaz,4,0.000432,0.003347
detalle,14,0.001512,0.009821
chico,8,0.000864,0.006096
eeg,10,0.001080,0.007379
debut,5,0.000540,0.004064
reality,12,0.001296,0.008618
televisa,3,0.000324,0.002604
estrella,5,0.000540,0.004064
torres,10,0.001080,0.007379
tommy,4,0.000432,0.003347
portugal,4,0.000432,0.003347
red,18,0.001944,0.012139
melissa,24,0.002593,0.015439
baile,15,0.001620,0.010411
robo,5,0.000540,0.004064
hampón,3,0.000324,0.002604
vehículo,4,0.000432,0.003347
domingo,48,0.005185,0.027285
vacante,5,0.000540,0.004064
jefe,19,0.002053,0.012702
delincuente,14,0.001512,0.009821
titular,14,0.001512,0.009821
declaración,7,0.000756,0.005435
ojo,3,0.000324,0.002604
tormenta,3,0.000324,0.002604
talibán,19,0.002053,0.012702
avión,6,0.000648,0.004758
cuerpo,4,0.000432,0.003347
sur,13,0.001404,0.009224
coronel,4,0.000432,0.003347
acto,3,0.000324,0.002604
papa,4,0.000432,0.003347
francisco,6,0.000648,0.004758
refugiado,4,0.000432,0.003347
plan,4,0.000432,0.003347
inversión,4,0.000432,0.003347
unidos,21,0.002269,0.013812
economía,5,0.000540,0.004064
residencia,3,0.000324,0.002604
covid,6,0.000648,0.004758
situación,8,0.000864,0.006096
mundo,14,0.001512,0.009821
puesto,10,0.001080,0.007379
medallero,5,0.000540,0.004064
lucha,17,0.001836,0.011569
aporte,6,0.000648,0.004758
ataque,14,0.001512,0.009821
york,15,0.001620,0.010411
periodista,4,0.000432,0.003347
guerra,18,0.001944,0.012139
cuarentena,6,0.000648,0.004758
hombre,8,0.000864,0.006096
música,4,0.000432,0.003347
voz,11,0.001188,0.008003
ciencia,3,0.000324,0.002604
reacción,7,0.000756,0.005435
actitud,3,0.000324,0.002604
político,3,0.000324,0.002604
libro,7,0.000756,0.005435
historia,8,0.000864,0.006096
muerte,11,0.001188,0.008003
investigación,5,0.000540,0.004064
cantidad,3,0.000324,0.002604
alter,3,0.000324,0.002604
ego,3,0.000324,0.002604
holmes,3,0.000324,0.002604
prueba,6,0.000648,0.004758
compañía,7,0.000756,0.005435
enfermedad,5,0.000540,0.004064
cáncer,15,0.001620,0.010411
cara,3,0.000324,0.002604
amor,13,0.001404,0.009224
tráfico,3,0.000324,0.002604
problema,8,0.000864,0.006096
crimen,6,0.000648,0.004758
lara,3,0.000324,0.002604
crónica,3,0.000324,0.002604
caída,7,0.000756,0.005435
paz,8,0.000864,0.006096
afganistán,30,0.003241,0.018576
ciencias,3,0.000324,0.002604
ejercicio,3,0.000324,0.002604
honor,4,0.000432,0.003347
hija,4,0.000432,0.003347
tony,4,0.000432,0.003347
muestra,3,0.000324,0.002604
dolor,3,0.000324,0.002604
revista,3,0.000324,0.002604
escritor,4,0.000432,0.003347
español,3,0.000324,0.002604
empleado,3,0.000324,0.002604
boxeador,3,0.000324,0.002604
experto,7,0.000756,0.005435
artes,3,0.000324,0.002604
ciudad,24,0.002593,0.015439
caracas,3,0.000324,0.002604
qaeda,4,0.000432,0.003347
islámico,4,0.000432,0.003347
aspiración,3,0.000324,0.002604
china,5,0.000540,0.004064
oeste,3,0.000324,0.002604
mexicano,3,0.000324,0.002604
anne,4,0.000432,0.003347
democracia,9,0.000972,0.006743
premio,11,0.001188,0.008003
pulitzer,4,0.000432,0.003347
torre,4,0.000432,0.003347
atentado,9,0.000972,0.006743
septiembre,26,0.002809,0.016501
curso,3,0.000324,0.002604
semana,31,0.003349,0.019085
infección,6,0.000648,0.004758
poeta,10,0.001080,0.007379
ensayo,5,0.000540,0.004064
mito,4,0.000432,0.003347
imagen,4,0.000432,0.003347
muro,4,0.000432,0.003347
participante,17,0.001836,0.011569
the,4,0.000432,0.003347
paciente,8,0.000864,0.006096
cuidado,5,0.000540,0.004064
report,3,0.000324,0.002604
niña,5,0.000540,0.004064
alternativa,3,0.000324,0.002604
hogar,4,0.000432,0.003347
padre,8,0.000864,0.006096
sequía,3,0.000324,0.002604
teresa,3,0.000324,0.002604
elizabeth,3,0.000324,0.002604
gareca,7,0.000756,0.005435
cariño,4,0.000432,0.003347
tabla,5,0.000540,0.004064
posición,8,0.000864,0.006096
capitán,3,0.000324,0.002604
crítica,5,0.000540,0.004064
padrón,4,0.000432,0.003347
pedro,28,0.003025,0.017546
castillo,33,0.003565,0.020094
incremento,4,0.000432,0.003347
relación,7,0.000756,0.005435
convoca,3,0.000324,0.002604
agua,10,0.001080,0.007379
ambiente,5,0.000540,0.004064
escolar,7,0.000756,0.005435
daniel,5,0.000540,0.004064
uci,3,0.000324,0.002604
riesgo,18,0.001944,0.012139
edad,7,0.000756,0.005435
modalidad,5,0.000540,0.004064
estafa,3,0.000324,0.002604
compra,3,0.000324,0.002604
venta,5,0.000540,0.004064
dinero,3,0.000324,0.002604
busca,3,0.000324,0.002604
impunidad,3,0.000324,0.002604
entrevista,9,0.000972,0.006743
pérez,6,0.000648,0.004758
justicia,9,0.000972,0.006743
fiscal,6,0.000648,0.004758
nación,4,0.000432,0.003347
competencia,9,0.000972,0.006743
administración,5,0.000540,0.004064
colaboración,3,0.000324,0.002604
luis,16,0.001728,0.010994
latorre,6,0.000648,0.004758
dirección,7,0.000756,0.005435
inteligencia,5,0.000540,0.004064
dini,16,0.001728,0.010994
cuarto,3,0.000324,0.002604
belleza,3,0.000324,0.002604
denuncia,3,0.000324,0.002604
escuela,6,0.000648,0.004758
escándalo,10,0.001080,0.007379
obra,4,0.000432,0.003347
avance,3,0.000324,0.002604
parque,6,0.000648,0.004758
funcionario,3,0.000324,0.002604
peligro,3,0.000324,0.002604
papelón,4,0.000432,0.003347
fifa,7,0.000756,0.005435
dybala,4,0.000432,0.003347
lionel,20,0.002161,0.013260
messi,26,0.002809,0.016501
tapia,14,0.001512,0.009821
vs,34,0.003673,0.020593
visitante,4,0.000432,0.003347
banderazo,3,0.000324,0.002604
corinthians,9,0.000972,0.006743
scaloni,7,0.000756,0.005435
anvisa,8,0.000864,0.006096
mem,3,0.000324,0.002604
fotos,11,0.001188,0.008003
papel,10,0.001080,0.007379
interrupción,5,0.000540,0.004064
campeón,4,0.000432,0.003347
liga,8,0.000864,0.006096
universitario,6,0.000648,0.004758
consecuencia,5,0.000540,0.004064
local,13,0.001404,0.009224
duelo,16,0.001728,0.010994
llegada,10,0.001080,0.007379
pelea,6,0.000648,0.004758
cholito,4,0.000432,0.003347
lapadula,17,0.001836,0.011569
cueva,9,0.000972,0.006743
hincha,7,0.000756,0.005435
ricardo,8,0.000864,0.006096
cabeza,5,0.000540,0.004064
mercado,3,0.000324,0.002604
luz,6,0.000648,0.004758
fc,3,0.000324,0.002604
barcelona,9,0.000972,0.006743
koeman,3,0.000324,0.002604
cosa,6,0.000648,0.004758
discusión,4,0.000432,0.003347
kane,3,0.000324,0.002604
compañero,6,0.000648,0.004758
united,3,0.000324,0.002604
serie,8,0.000864,0.006096
punto,20,0.002161,0.013260
bale,6,0.000648,0.004758
victoria,4,0.000432,0.003347
gales,5,0.000540,0.004064
visita,4,0.000432,0.003347
bielorrusia,3,0.000324,0.002604
gareth,6,0.000648,0.004758
hattrick,3,0.000324,0.002604
sueño,5,0.000540,0.004064
espinoza,4,0.000432,0.003347
rodrigo,7,0.000756,0.005435
guillén,9,0.000972,0.006743
efraín,3,0.000324,0.002604
sotacuro,3,0.000324,0.002604
camiseta,6,0.000648,0.004758
cristiano,3,0.000324,0.002604
ronaldo,3,0.000324,0.002604
motivo,5,0.000540,0.004064
locura,4,0.000432,0.003347
neymar,8,0.000864,0.006096
psg,3,0.000324,0.002604
euros,8,0.000864,0.006096
link,3,0.000324,0.002604
horario,12,0.001296,0.008618
vía,12,0.001296,0.008618
play,3,0.000324,0.002604
burofax,3,0.000324,0.002604
laporta,3,0.000324,0.002604
canadá,3,0.000324,0.002604
pública,3,0.000324,0.002604
minuto,19,0.002053,0.012702
quito,11,0.001188,0.008003
espn,3,0.000324,0.002604
europeas,8,0.000864,0.006096
mercedes,3,0.000324,0.002604
sports,4,0.000432,0.003347
defensores,5,0.000540,0.004064
