,Name,WordsByTrend
0,#ASUMETUVOTOIDIOTA,"['mismo', 'noalcomunismo', 'favor', 'cojudigno', 'arruinar', 'vigilar', 'malograr', 'sacar', 'solución', 'patria', 'vigilatukarpa', 'final', 'idioto', 'esperar', 'innecesario', 'narcotráfico', 'equilibrio', 'diablo', 'premier', 'nuevo', 'ciudadano', 'resultado', 'idiota', 'lapicito', 'filoterruco', 'ahora', 'chiste', 'opción', 'detrás', 'quito', 'marcha', 'sumar', 'poder', 'gobernar', 'nariz', 'cantado', 'hacer', 'dejenlar', 'aburrir', 'interés', 'mil', 'dar', 'beneficio', 'culpable', 'asumetuvoto', 'sorprender', 'exigir', 'jajajjajajaj', 'hashtag', 'red', 'jajajaja', 'voto', 'castillopresidenteilegitimo', 'tonto', 'empezar', 'afinar', 'unir', 'dejar', '1ºministro', 'varios', 'buen', 'entonces', 'desear', 'empanada', 'pasar', 'demás', 'caviar', 'largar', 'tirar', 'traidor', 'agarrar', 'vacancia', 'congreso', 'demostrar', 'dividir', 'vender', 'defensa', 'constitución', 'pensar', 'grado', 'sino', 'canjeable', 'perdisye', 'gabinar', 'decir', 'voz', 'presidente', 'almuerzo', 'ahí', 'fujis', 'corrupto', 'argumento', 'automáticamente', 'permitir', 'llevar', 'condena', 'quedar', 'preparar', 'blanco', 'marchar', 'parasitar', 'imagen', 'creador', 'asumir', 'país', 'tratar', 'vacanciapresidencialya', 'pobre', 'nunca', 'izquierda', 'lugar', 'organización', 'ármense', 'risa', 'tuco', 'cambiar', 'mierda', 'peruano', 'democracia', 'gente', 'respeto', 'hablar', 'gabinete', 'castillo', 'dia', 'contacto', 'así', 'mal', 'castiburro', 'atreverse', 'vacanciapedrocastillo', 'después', 'marrón', 'trabajar', 'según', 'revolución', 'decirle', 'plan', 'leer', 'mejor', 'foto', 'keiko', 'animal', 'principio', 'rojo', 'pintura', 'siempre', 'pelo', 'derecha', 'tendencia', 'querer', 'cuánto', 'lideresa', 'pigmeo', 'andar', 'ver', 'discar', 'útil', 'terrorismonuncama', 'gobierno', 'doblemoral', 'cuestionar', 'imposible', 'semaforo', 'siquiera', 'persona', 'votar', 'seguir', 'increíble', 'chillono', 'asumetuvotoidiota', 'noalcomunismoenelperu', 'cerrón', 'ataque', 'bruto', 'llorar', 'dio', 'rico', 'reconocer', 'criminal', 'mental', 'bono', 'esconder', 'cara', 'ayayar', 'limpiar', 'resto', 'salir', 'quejar', 'edificio', 'claro', 'buscar', 'simploner', 'imbecilidad', 'cerron', 'gobernante', 'dignidad', 'asustar', 'vigilante', 'rmp', 'injustificado', 'seguro', 'asumetucagado', 'ofrecer', 'bien', 'peluca', 'fujidiota', 'vinculado', 'bailecito', 'viciado', 'volver', 'perder']"
1,#FIGHT_OR_ESCAPE,"['gato', 'jaja', 'asi', 'tres', 'amoooo', '/fightorescape_fightphoto', 'álbum', 'comentar', 'demasiado', 'hoy', 'agosto', 'taehyun', 'versión', 'idea', 'com', 'llegar', 'esperar', 'sala', 'full', 'ciertoooo', 'nuevo', 'espwraar', 'emocionar', 'responder', 'ahora', 'holar', 'hermana', 'round', 'opción', 'manejar', 'cielo', 'último', 'haber', ""'round"", 'the', 'album', 'moaaaassssss', 'blue', 'hacer', 'valorar', 'dar', 'despertar', 'tomorrow_x_together', 'concept', 'merecer', 'force', 'concep', 'triple', 'hashtag', 'royal', 'chico', 'recordar', 'histórico', 'posible', 'hueningkai', 'avsgsvzbdfbd', 'empezar', 'dejar', 'adaptar', 'freeze', 'buen', 'run', 'entonces', 'trauma', 'pasar', 'went', 'boyfriend', 'menudo', 'lleno', 'skater', 'dualidad', 'maaaass', 'vivo', 'minuto', 'ahshabd', 'levantandose', 'primero', 'perú', 'ambulancia', 'pcs', 'contactar', 'omggggghhhhdjcfjbukk', 'razón', 'ansioso', 'away', 'tener', 'manera', 'canción', 'saber', 'oso', 'pronto', 'bulla', ""'fight"", 'producido', 'paro', 'conceptual', 'txt', 'llevar', 'produjiste', 'bastante', '010821', 'sk8', 'incluir', 'solo', 'comprar', 'lanzamiento', 'junto', 'falta', 'sólo', 'moa', 'entero', 'you', 'toque', 'nami', 'asgavvdbsbd', 'gente', 'desmayado', 'ritual', 'just', 'how', 'min', 'comoq', 'conocer', 'moaaaa', 'dos', 'vlive', 'así', 'beomgyu', 'duro', 'después', 'ruqyrowjdiw', 'normal', 'was', 'comentario', 'extraño', 'letra', 'fresco', 'trabajar', 'cuádruple', 'funcionar', 'beom', 'born', 'leer', 'acabar', 'twitter', 'guys', 'foto', 'grande', 'utilizar', 'venir', 'interaccion', 'mundo', 'cosa', 'hour', 'minnnnn', 'puesto', 'tendencia', 'adiós', 'genial', 'deber', 'sticker', 'ver', 'respectivamente', 'calzonsillo', 'chao', 'soobin', 'and', 'silencio', 'amar', 'skate', 'noche', 'jajaja', 'seguir', 'mirar', 'concepto', 'recien', 'chapter', 'photo', 'fight', 'cualquiera', 'ser', 'matenmar', 'helpp', 'vuelta', 'translatingtxt', 'llamar', 'imaginar', 'brillito', 'usar', 'asimilar', 'llorar', 'everlasting', 'enrealidad', 'dio', 'vez', 'cercano', 'yeonjun', 'can', 'avanzaar', 'fight_or_escape', 'wait', 'ahdhsjjf', 'escape', 'choi', 'info', 'from', 'dormir', 'peluche', 'shine', 'sueño', 'asiiii', 'aaaaaar', 'weverse', 'have', 'feliz', 'trigre', 'mierfa', 'trad', 'mio', 'seguro', 'link', 'regreso', 'bien', '2021', 'broke', 'temprano', 'fightorescape_fightphoto', 'ready', 'volver', 'perder']"
2,#LALIGATUITERA,"['jaja', 'trabajo', 'moqueguaar', 'seguir', 'virrey', 'coherencia', 'valer', 'hija', 'comentar', 'nota', 'continuar', 'sacar', 'suerte', 'buen', 'hoy', 'hablar', 'primicia', 'ojo.pare', 'ahi', 'lujo', 'admirable', 'respaldar', 'molinelli', 'todx', 'ligatuitero', 'pepa', 'laligatuitero', 'palabra', 'congresista', 'gogogogo', 'nuevo', 'violeta', 'junto', 'congreso', 'ganar', 'joven', 'manifiesto', 'primero', 'programa', 'chauuuuu', 'éxito', 'corrupcionsedestapa', 'política', 'sostener', 'pasado', 'gracias', 'presidenta', 'dormir', 'poder', 'fiorella', 'luego', 'not', 'político', 'feliz', 'expremier', 'mirtha', 'inspirar', 'hacer', 'bermúdez', 'proceso', 'admiración', 'arequipa', 'moradito', 'genial', 'escuchar', 'ver', 'atención', 'decencia', 'bendición', 'verdaderamenteeee', 'sodalicio', 'participación', 'ilo', 'chico']"
3,#ONYOUR23RDMARK,"['recordar', 'amar', 'planeado', 'niño', 'horrible', 'mark', 'persona', 'increíble', 'continuar', 'kpop', 'osear', 'hoy', 'buen', 'markzen', 'ser', 'edit', 'vidaaaaaa', 'happy', 'lindo', 'agradecer', 'esperar', 'birthday', 'salud', 'ahhhhhhhhsjahd', 'igual', 'especial', 'aún', 'farito', 'markie', 'tener', 'desastre', 'acabar', 'leer', 'mejor', 'lado', 'día', 'hermoso', 'rápido', 'feliz', 'luz', 'inspirar', 'orgulloso', 'siempre', 'pase', 'completo', 'querer', 'happymarkday', 'cumpleaños', 'apoyandolar', 'precioso', 'expresándomar', 'czennie', 'talentoso', 'solo', 'personita', 'crecer', 'onyour23rdmark', 'futuro']"
4,#VACANCIAPEDROCASTILLO,"['mismo', 'gustar', 'netflix', 'parque', 'actuar', 'congresista', 'plazo', 'ahora', 'semana', 'golpedeestado', 'ley', 'haber', 'poder', 'sosperu', 'dejenlar', 'criterio', 'convertir', 'reiterar', 'proponer', 'incapaz', 'apología', 'red', 'ojo', 'voto', 'respetar', 'defender', 'castillopresidenteilegitimo', 'situación', 'huachafo', 'entonces', 'caviar', 'primero', 'pacto', 'justificar', 'excandidato', 'terrorista', 'cleptocracia', 'segundo', 'investidura', 'nunca', 'año', 'bruh', 'cambiar', 'alguien', 'gabinete', 'recurso', 'jamás', 'así', 'creer', 'leer', 'preguntar', 'keiko', 'darlar', 'querer', 'deber', 'ver', 'chávez', 'meta', 'significar', 'petróleo', 'vacar', 'votar', 'ser', 'noalcomunismoenelperu', 'demostrado', 'decepción', 'dolar', 'retroceder', 'gil', 'tercero', 'bellidorenunciaya', 'mineria', 'imponer', 'apologista', 'etcétera', 'democrático', 'elección', 'meter', 'terco', 'acomoder', 'cumplir', 'chiste', 'gas', 'nacionalizar', 'hacer', 'pueblo', 'mil', 'destrozar', 'asumetuvoto', 'vacanciaya', 'largamente', 'policía', 'huevito', 'precisar', 'traidor', 'millón', 'ilegal', 'dba', 'títere', 'pasado', 'incapacidad', 'lescano', 'decir', 'miedo', 'ahí', 'gadafi', 'llevar', 'confianza', 'solo', 'respetuoso', 'tratar', 'mediocre', 'ármense', 'hija', 'hijo', 'mierda', 'gente', 'respeto', 'lacra', 'tomar', 'vacanciapedrocastillo', 'muerto', 'mejor', 'tibio', 'pintura', 'cosa', 'bellido', 'vivido', 'gobiernoclandestino', 'financiar', 'gobierno', 'negociar', 'eso…', 'gana', 'seguir', 'terruquear', 'filo', 'instruido', 'fraude', 'poquito', 'reventar', 'entender', 'vez', 'reconocer', 'parar', 'regresar', 'sendero', 'día', 'gobernante', 'republicano', 'propuesta', 'noalcomunismo', 'estonoesdemocracia', 'españa', 'husein', 'sacar', 'llegar', 'idioto', 'esperar', 'dictadura', 'peruexplicadoparaespaña', 'ipso', 'conelterrorismonosenegocia', 'fiscal', 'alcanzar', 'unico', 'recontra', 'económico', 'puestito', 'voluntad', 'acción', 'capaz', 'empezar', 'afinar', 'dejar', 'dictado', 'deshacer', 'largar', 'menudo', 'lleno', 'resentimiento', 'investigar', 'clarisimo', 'golpista', 'vacancia', 'perú', 'década', 'demostrar', 'tener', 'técnico', 'tirano', 'saber', 'nulo', 'país', 'presidencial', 'romper', 'jajajjajajajajjajaja', 'cinismo', 'convencer', 'información', 'después', 'derecho', 'conspiración', 'acabar', 'caer', 'interior', 'esperanza', 'camino', 'rojo', 'andar', 'terrorismonuncama', 'enterar', 'popular', 'apoyo', 'comunismoesmiseria', 'importante', 'pro', 'vaganciakeikofujimori', 'representar', 'asumetuvotoidiota', 'cualquiera', 'poner', 'exacto', 'llorar', 'tiempo', 'tal', 'cara', 'par', 'destruido', 'demócrata', 'afrenta', 'subir', 'claro', 'fujiburro', 'completo', 'comunista', 'contraste', 'tramposo', 'peluca', 'vergüenza', 'rodeado', 'favor', 'terruco', 'hombre', 'patria', 'terrorismo', 'facto', 'impedir', 'ministro', 'asesino', 'documental', 'marcha', 'recomendar', 'gobernar', 'nariz', 'dar', 'vacanciaspedrocastillo', 'merecer', 'medio', 'miserable', 'señora', 'bellidonovo', 'nieto', 'golpe', 'alguno', 'pasar', 'pedir', 'indignado', 'sino', 'guzmán', 'abimael', 'repudiar', 'voz', 'presidente', 'político', 'oposición', 'casa', 'blanco', 'ninguno', 'vacanciapresidencialya', 'sólo', 'lima', 'ignorante', 'democracia', 'xddd', 'hablar', 'decisión', 'legítimo', 'castillo', 'elegante', 'carrasco', 'pedro', 'peru', 'marrón', 'amaru', 'banda', 'mas', 'faltar', 'tupac', 'oposicion', 'electoral', 'chillono', 'terruquito', 'urna', 'pedrocastilloyafue', 'gobernado', 'dónde', 'fuerza', 'perulibrar', 'libre', 'avanzar', 'fujimori', 'aún', 'basura', 'posibilidad', 'pedido', 'salir', 'pedrocastilloincapaz', 'porky', 'confirmar', 'seguro', 'moral', 'mandatario', 'ineptitud', 'servir']"
5,ADRIANA TUDELA,"['chistoso', 'idea', 'tocayo', 'figurar', 'llegar', 'constructivo', 'colectivo', 'dictadura', 'nuevo', 'culpa', 'ritmo', 'volvir', 'aló', 'sumar', 'poder', 'tudela', 'vida', 'huevado', 'interés', 'sacártelo', 'guardar', 'designación', 'buen', 'foco', 'golpista', 'vacancia', 'perú', 'década', 'dba', 'destructivo', 'fuerte', 'clase', 'robado', 'pensar', 'defensa', 'incapacidad', 'papito', 'alberto', 'presidente', 'guido', 'adriana', 'izquierda', 'hija', 'personal', 'cambiar', 'gabinete', 'castillo', 'tomar', 'danza', 'respuesta…', 'api', 'moral.ante', 'bajo', 'concebir', 'tío', 'sirvienta', 'fácil', 'bellido', 'tweet', 'vacar', 'mirar', 'representar', 'tras', 'cualquiera', 'chino', 'fujimori', 'evidente', 'esconder', 'cateriano', 'cara', 'política', 'resto', 'bailar', 'claro', 'llamado', 'confirmar', 'intención', 'servir']"
6,ALARCÓN,"['arbitrar', 'comunicación', 'piura', 'naranja', 'alientadesdecaso', 'joao', 'mientras', 'aquí', 'sacar', 'villamarín', 'sismo', 'esperar', '11-9', 'narco', 'campo', 'gemelo', 'toledo', 'disculpa', 'ahora', 'patricia', 'humala', 'opción', 'desastre', 'símbolo', 'rio', 'jostin', 'marte', 'avisar', 'dar', 'caminar', 'nombre', 'lozanista', 'mvll', 'renuncia', 'proponer', 'medio', 'red', 'recordar', 'intentar', 'mrd', 'defender', 'golpe', 'frío', 'gritar', 'caracas', 'pedir', 'liga1betssonxgolperu', 'razón', 'escribir', 'alrededor', 'poquísimo', 'ohhh', 'lograr', 'decir', 'careta', 'objetivo', 'patrio', 'quedar', 'alarcón', 'retina', 'presidencial', 'frio', 'entero', 'felizmente', 'retirar', 'lugar', 'organización', 'facebook', 'despachar', 'feo', 'farc', 'democracia', 'tranquilidad', 'castillo', 'información', 'declaración', 'leer', 'pisotear', 'mes', 'venir', 'cosa', 'malparido', 'alianza', 'torre', 'ver', 'publicación', 'desfile', 'ingresar', 'alarcon', 'asistencia', 'alterar', 'avión', 'ser', 'cerrón', 'reunir', 'se-semana', 'criminal', 'ayayar', 'ambos', 'arma', 'periodista', 'demócrata', 'credibilidad', 'acudir', 'pésimo', 'árbitro', 'perder']"
7,ALDAIR,"['rodríguez', 'retirar', 'lugar', 'alientadesdecaso', 'lima', 'lago', 'concha', 'boy', 'aldair', 'campo', 'liga1betssonxgolperu', 'sport', 'matzudar', 'miguez', 'hernán', 'ahora', 'mora', 'once', 'ballón', 'inicial', 'rojo', 'alianza', 'portal', 'vía', 'mauricio', 'valenzuela', 'ingresar', 'barco']"
8,ALIANZA,"['arbitrar', 'mismo', 'uruguayo', 'favor', 'rodríguez', 'privecrew', 'concha', 'tres', 'cusco', 'mientras', 'alcanzado', 'nota', 'valer', 'hoy', 'sacar', 'tolerancia', 'bancada', 'remate', 'cnco', 'eddyskabeche', 'solución', 'terminar', 'final', 'audh', 'pablo', 'ninfomana', 'esperar', 'gonzalo', 'iván', 'colectivo', 'campo', 'mixto', 'acuerdo', 'funcionamiento', 'diana', 'ganar', 'jornada', 'criticar', 'lamentar', 'joelpimentel', 'hernán', 'ahora', 'unanimidad', 'recuperar', 'previsible', 'malo', 'sumar', 'fecha', 'emilio', 'poder', 'paso', 'álvarez', 'compañero', 'elsanticorazonyfuerza', 'momento', 'hacer', 'ávila', 'juan', 'liberar', 'dar', 'flojo', 'copadecampeón', 'caminar', 'betsson', 'ligafemenino', 'lozanista', 'horroroso', 'posición', 'empate', 'proponer', 'patricio', 'tambogrande', 'udh', 'ayacucho', 'medio', 'barco', 'crisanto', 'voto', 'lago', 'rival', 'difamar', 'entrenamiento', 'libertad', 'buen', 'distribución', 'jairo', 'seriir', 'pasar', 'demás', 'clarito', 'función', 'mano', 'aldair', 'chibola', 'consecutivo', 'camiseta', 'terrible', 'verde', 'lile', 'binacional', 'vivo', 'corazon', 'minuto', 'estadio', 'evaluar', 'liga1betssonxgolperu', 'moreno', 'sport', 'sentir', 'video', 'traidor', 'vacancia', 'gentear', 'anotación', 'sportboy', 'equipo', 'pensar', 'mora', 'fandom', 'mediocampo', 'evidencia', 'difícil', 'inicial', '10:30hrs', 'decir', 'central', 'darianrojasyjashlem', 'cómo', 'jugar', 'cantolao', 'olvidar', 'declarar', 'portal', 'psg', 'arriba', 'conde', 'segundo', 'permitir', 'puesta', 'manicero', 'quedar', 'liga1', 'cfc', 'kcamexico', 'solo', 'mauricio', 'blanco', 'alarcón', 'conparto', 'presente', 'durand', 'lastimosamente', 'marco', 'mejorar', '2-3', 'partido', 'falta', 'casi', 'rosado', 'plumón', '13:15hrs', 'lima', 'campana', 'pensamiento', 'mannucci', 'alguien', 'ballon', 'gente', 'misilera', 'dos', 'así', 'mal', 'presionar', 'cristal', 'san', 'respecto', 'después', 'cncowner', 'temporada', 'monte', 'miguez', 'derecho', 'elía', '13:00hrs', 'trujillo', 'declaración', 'sobrino', 'parecido', 'creer', 'ballón', 'once', 'dirigir', 'cohesionar', 'interior', 'golazo', 'foto', 'grande', 'tarjeta', 'defensor', 'aubert', 'martin', 'melgar', 'rojo', 'siempre', 'depilación', 'fallar', 'pase', 'skabeche', 'puesto', 'alianza', 'deber', 'universidad', 'grrr', 'diferente', 'querer', 'tradición', 'cancha', 'ver', '.saludos', 'rizzo', 'comunicado', 'atl', 'huaca', '0-0', 'jonathan', 'oliva', 'jugador', 'amar', 'insolito', 'empatar', 'alianza.saludo', 'bastar', '15:30hrs', 'escrito', 'generar', 'seguir', 'votar', 'necesitar', 'gol', 'boy', 'obligar', 'negro', 'keniao', 'ser', 'analizar', 'poner', '130', 'reunión', 'ayudar', 'liga', 'fase', 'ligafutprof', 'ataque', 'totalmente', 'maldito', 'sub', 'dónde', 'próximo', 'potenciar', 'verolovxr', 'hts', 'igual', 'arquero', 'blanquiazul', 'medir', 'ambos', 'expresar', 'feeling', 'desacuerdo', 'resto', 'morade', 'alianzalimo', 'sonqoliga1', 'porky', 'pintado', 'edson', 'diego', 'sportboysalianzanim', 'punto', 'isivive', 'temblor', 'car', '11:00hrs', 'cambio', 'joyce', 'diferencia', 'vía', 'directo', 'goleador', 'valenzuela', 'distinto', 'pésimo', 'azulgrana', 'quizás', '2021', 'volante', 'replanteo', 'busto', 'número', 'perder']"
9,ARLEY,"['oslimg', 'rodríguez', 'retirar', 'lugar', 'concha', 'alientadesdecaso', 'edgar', 'arley', 'dejar', 'sacar', 'jairo', 'final', 'corner', 'meter', 'liga1betssonxgolperu', 'benítez', 'pitar', 'ahora', 'mora', 'último', 'buscar', 'ingresar', 'barco']"
10,BALLON,"['partido', 'falta', 'generar', 'lago', 'lima', 'rodríguez', 'concha', 'necesitar', 'adelante', 'boy', 'hoy', 'ballon', 'pasar', 'gente', 'poner', 'ayudar', 'función', 'aldair', 'colectivo', 'quitar', 'velocidad', 'campo', 'así', 'presionar', 'potenciar', 'minuto', 'sport', 'ganar', 'matzudar', 'miguez', 'hernán', 'parecido', 'mora', 'ballón', 'once', 'cohesionar', 'interior', 'inicial', 'poder', 'contención', 'jugar', 'medio', 'hacer', 'fallar', 'pase', 'rojo', 'puesto', 'alianza', 'deber', 'nadie', 'diferente', 'portal', 'cancha', 'quedar', 'caminar', 'vía', 'solo', 'generación', 'oliva', 'valenzuela', 'linea', 'encima', 'posición', 'jugador', 'quizás', 'volante', 'barco', 'lastimosamente']"
11,BARCOS,"['mismo', 'rodríguez', 'alientadesdecaso', 'concha', 'hoy', 'sacar', 'enviar', 'campo', 'meter', 'mixto', 'ganar', 'lamentar', 'hernán', 'ahora', 'previsible', 'sumar', 'poder', 'hacer', 'liberar', 'caminar', 'empate', 'proponer', 'medio', 'barco', 'claridad', 'lago', 'rival', 'dejar', 'distribución', 'jairo', 'clarito', 'aldair', 'minuto', 'liga1betssonxgolperu', 'sport', 'primero', 'equipo', 'pensar', 'mora', 'inicial', 'saber', 'pronto', 'jugar', 'declarar', 'portal', 'permitir', 'quedar', 'culminar', 'solo', 'delantero', 'lastimosamente', 'mejorar', 'partido', 'lima', 'arley', 'córner', 'ballon', 'gente', 'dos', 'así', 'ocasión', 'presionar', 'después', 'miguez', 'trabajar', 'peleado', 'creer', 'once', 'ballón', 'interior', 'grande', 'cuba', 'camino', 'rojo', 'experiencia', 'alianza', 'deber', 'faltar', 'cancha', 'oliva', 'jugador', 'fabio', 'encontrar', 'hrs', 'generar', 'diesel', 'seguir', 'necesitar', 'boy', 'ser', 'tras', 'ayudar', 'ataque', 'acercar', 'gasolina', 'cabecear', 'par', 'claro', 'venezuela', 'punto', 'centro', 'vía', 'valenzuela', 'volante', 'perder']"
