,Name,WordsByTrend
12,BELLIDO,"['mismo', 'piura', 'gustar', 'promover', 'funcionario', 'disfrutar', 'naranja', 'agosto', 'famoso', 'imparcial', 'solidaridad', 'solución', 'afín', 'compañía', 'deslizar', 'sheput', 'colectivo', 'cuento', 'inocente', 'congresista', 'nuevo', 'acuerdo', 'ocultar', 'fusible', 'ahora', 'semana', 'humo…', 'humala', 'nofaltar', 'detrás', 'ley', 'constituyente', 'noticiero', 'bermejo', 'poder', 'sosperu', 'francke', 'ceromeaculpa', 'juan', 'requisito', 'lamentable', 'despertar', 'senderismo', 'irse', 'referir', 'renuncia', 'vividor', 'reiterar', 'apología', 'nivel', 'chamba', 'recular', 'maner', 'porqué', 'voto', 'respetar', 'defender', 'designación', 'pendiente', 'aportar', 'maravi', 'estratégico', 'reflexivo', 'entonces', 'allí', 'caviar', 'consenso', 'clasismo', 'siguiente', 'sentir', 'primero', 'retiro', 'antojado', 'justificar', 'madre', 'jara', 'revivir', 'terrorista', 'prohibir', 'reglamento', 'reforma', 'lucha', 'nombramiento', 'través', 'desacreditar', 'pais', 'distracción', 'joder', 'guido', 'asumir', 'peor', 'tesorito', 'dinámico', 'pelele', 'nunca', 'impunidad', 'admitir', 'acciónpopular', 'año', 'continuar', 'cambiar', 'deberir', 'alguien', 'gabinete', 'así', 'vínculo', 'justicia', 'pataleta', 'cuestionable', 'creer', 'plan', 'sabotear', 'antonieta', 'bala', 'tío', 'chicha', 'richard', 'aconsejar', 'keiko', 'principio', 'darlar', 'siempre', 'deber', 'querer', 'nadie', 'desestabilización', 'ver', 'anticipeelvoto', 'significar', 'salida', 'jajajajajajaajajajajajajajaaj', 'heredia', 'acusación', 'integridad', 'generar', 'generado', 'interno', 'vacar', 'votar', 'cuzco', 'senderista', 'ser', 'cerrón', 'demanda', 'centímetro', 'chino', 'gil', 'paño', 'aqui', 'wtf', 'luminoso', 'bellidorenunciaya', 'expresar', 'anunciar', 'oír', 'doscientos', 'acreditado', 'postura', 'guillermo', 'centro', 'india', 'resistido', 'escuchar', 'reclamar', '-en', 'forma', 'ojala', 'etcétera', 'razonamiento', 'oficialista', 'ted', 'protestar', 'democrático', 'broma-', 'sobr', 'desginación', 'problema', 'crisis', 'escoger', 'elección', 'ugarte', 'calmar', 'culpa', 'prosor', 'solicitar', 'bancado', 'zanja', 'pretexto', 'consejo', 'sumar', 'probablemente', 'conocedor', 'economía', 'vida', 'valorar', 'además', 'hacer', 'reivindicado', 'pueblo', 'mil', 'ridículo', 'regional', 'corrupción', 'agrupación', 'líder', 'decepcionado', 'lago', 'parlamentario', 'borda', 'jorge', 'rata', 'esfuerzo', 'revolucion', 'aprender', 'vivo', 'tirar', 'rectificación', 'dba', 'dias.exministro', 'sesionar', 'ahh', 'títere', 'pasado', 'parecer', 'decir', 'elegir', 'ahí', 'tono', 'cuarto', 'llevar', 'corregir', 'confianza', 'solo', 'nombrar', 'entero', 'izquierda', 'ronda', 'máscara', 'apra', 'ministerial', 'opinar', 'peruano', 'verdad', 'sl…', 'gente', 'fujimorismo', 'tomar', 'respaldado', 'apelar', 'mal', 'lista', 'inicio', 'sudaca', 'vacanciapedrocastillo', 'hdmp', 'doble', 'declaración', 'rcsm', 'muerto', 'mejor', 'mes', 'cuba', 'acaso', 'derecha', 'bellido', 'cosa', 'frente', 'puesto', 'payaso', 'detener', 'maría', 'hora', 'hartar', 'gobierno', 'negociar', 'deslindar', 'cuestionar', 'entrevista', 'seguir', 'marido', 'impresentable', 'disyuntiva', 'destapar', 'mañana', 'filo', 'metelo', 'serio', 'indira', 'negarlar', 'bonito', 'reunir', 'progre', 'vez', 'tema', 'bajar', 'parar', 'montoya', 'cita', 'actitud', 'infeliz', 'importar', 'sendero', 'día', 'lio', 'tejer', 'asamblea', 'coalición', 'sector', 'provocar', 'haztar', 'rechazo', 'now', 'bien', 'distinto', 'considerar', 'nano', 'embajador', 'ceder', 'respaldo', 'hecho', 'simplemente', 'ayala', 'lamentablemente', 'asuntosjudiciales.partidos', 'sacar', 'hoy', 'bancada', 'idea', 'terminar', 'final', 'llegar', 'esperar', 'siempre…', 'podemar', 'premier', 'imbécil', 'ternuritar', 'dimitir', 'partida', 'criticar', 'total', 'suficiente', 'luchar', 'apostar', 'exclusivo', 'lado', 'tudela', 'señalar', 'thais', 'nombrado', 'económico', 'vitrina', 'camuflado', 'jefe', 'prensa', 'acción', 'politica', 'preso', 'censurable', 'evitar', 'empezar', 'anterior', 'dejar', 'mamando', 'buen', 'maita', 'largar', 'responsable', 'pecado', 'palabra', 'golpista', 'congreso', 'perú', 'vacancia', 'espacio', 'clase', 'tener', 'cargo', 'porsiaca', 'necio', 'titere', 'saber', 'motivo', 'alertalegislativo', 'visto', 'miércoles', 'felicitar', 'adriana', 'país', 'frio', 'falta', 'partido', 'trabajo', 'superar', 'marisa', 'cansar', 'despachar', 'odio', 'ayer', 'breve', 'impulsar', 'respaldar', 'presionar', 'dicho', 'heroico', 'terror', 'duro', 'después', 'necesario', 'cuestión', 'trabajar', 'según', 'pedrocastillo', 'botar', 'limpio', '100', 'caer', 'reto', 'electo', 'presión', 'desarrollo', 'venir', 'rojo', 'incio', 'tendencia', 'inconcluso', 'indicado', 'error', 'salina', 'talk', 'apoyar', 'negar', 'terrorismonuncama', 'impactar', 'sra', 'afuera', 'imposible', 'emerretista', 'alva', 'popular', 'apoyo', 'persona', 'pro', 'jugada', 'necesitar', 'sabio', 'reputación', 'tras', 'poner', 'contar', 'llorar', 'tiempo', 'mafia', 'pcm', 'maltrato', 'igual', 'tambien', 'tal', 'sugerir', 'privilegiado', 'política', 'reserva', 'reducir', 'ideológico', 'sifuente', 'gracias', 'demócrata', 'afrenta', 'fabricar', 'claro', 'buscar', 'cerron', 'dignidad', 'comunista', 'fregar', 'vanya', 'crítica', 'procedencia', 'ministerio', 'economia', 'vergüenza', 'y/o', 'perder', 'favor', 'ayuda', 'asi', 'terruco', 'leido', 'antidemocrático', 'hombre', 'tampoco', 'terrorismo', 'facto', 'liberal', 'ganar', 'filoterruco', 'ministro', 'recuperar', 'opción', 'cierto', 'vergar', 'marcha', 'support', 'socio', 'responsabilidad', 'suceder', 'gobernar', 'consultivo', 'huaycán', 'mafioso', 'proceso', 'dar', 'sorprender', 'nombre', 'investigación', 'aplicar', 'esquina', 'miserable', 'martes', 'comunismo', 'hígado', 'jajajajajajar', 'siglo', 'mrd', 'bellidonovo', 'constantemente', 'unir', 'golpe', 'varios', 'cartera', 'alguno', 'desempleo', 'desear', 'zona', 'arturo', 'pasar', 'demás', 'democratico', 'encabezar', 'políticamente', 'entrar', 'menos', 'vivir', 'conchazar', 'pedir', 'video', 'delito', 'dudoso', 'incremento', 'guzmán', 'ejercicio', 'abimael', 'recibir', 'repudiar', 'presidente', 'palacio', 'cómo', 'frankle', 'verte', 'reaccionar', 'tergiversado', 'casa', 'fujimorista', 'alarde', 'condena', 'quedar', 'marchar', 'perúlibrar', 'ejercer', 'junto', 'ajedrez', 'permanencia', 'lima', 'arce', 'mana', 'recién', 'someter', 'hablar', 'decisión', 'castillo', 'únicamente', 'internet', 'pedro', 'temor', 'todavía', 'calle', 'peru', 'neoliberal', 'cambiado', 'renunciar', 'amaru', 'quizá', 'fila', 'conferencia', 'maduro', 'pelo', 'mas', 'edith', 'tupac', 'públicamente', 'santo', 'radical', 'compadre', 'intachable', 'público', 'dispuesto', 'destruir', 'obra', 'vuelta', 'puerta', 'imposición', 'xconstitucion', 'dónde', 'fuerza', 'cuestionamiento', 'simpatizante', 'libre', 'fujimori', 'arremeter', 'inevitable', 'especial', 'aún', 'legal', 'capitán', 'eticamente', 'posibilidad', 'maestro', 'salir', 'sufrir', 'venezuela', 'creación', 'nadine', 'cometer', 'confirmar', 'cambio', 'siiiiiiiii', 'moral', 'ollanta', 'hildebrandt', 'cariñito', 'juramento', 'comenzar', 'diálogo', 'aceptar', 'fin', 'dialogar', 'durar', 'aboga', 'servir']"
13,BENÍTEZ,"['priorizar', 'pobre', 'partido', 'intentar', 'oslimg', 'lago', 'retirar', 'alientadesdecaso', 'concha', 'lugar', 'rodríguez', 'edgar', 'aportar', 'gol', 'necesitar', 'arley', 'buen', 'busto', 'regalar', 'tras', 'remate', 'distancia', 'jairo', 'poner', 'grito', 'édgar', 'menos', 'ocasión', 'mal', 'avanzar', 'minuto', 'liga1betssonxgolperu', 'nuevo', 'benítez', 'primero', 'oswaldo', 'volver', 'pájaro', 'ahora', 'equipo', 'tener', 'mora', 'defensivo', 'marca', 'poder', 'apenas', 'traer', 'fútbol', 'desviado', 'diferencia', 'generación', 'cerca', 'bien', 'valenzuela', 'ingresar', 'largo', 'pressing', 'forma']"
14,BERNARDO CUESTA,"['favor', 'alientadesdecaso', 'tres', 'cristian', 'celebrar', 'tiro', 'hoy', 'remate', 'terminar', 'figurar', 'bernardo', 'marlon', 'travesaño', 'balón', 'ganado', '0-2', 'miguel', 'deportivo', 'ritmo', 'arequipeño', 'ahora', 'atajada', 'clarísimo', 'liquido', 'bordacahar', 'despeje', 'tarde', 'último', 'fecha', 'listo', 'compañero', 'luego', 'movimiento', 'bernardocuesta', 'perfilar', 'hacer', 'zurda', 'raúl', 'sellar', 'preciso', 'duelo', 'juliaca', 'área', 'cuadro', 'ruptura', 'dejar', 'hat-trick', 'alguno', 'pasar', 'marcar', 'clave', 'parcial', 'binacional', 'minuto', 'estadio', 'liga1betssonxgolperu', 'primero', 'proteger', 'religión', 'demostrar', 'equipo', 'tener', 'grau', 'golear', 'manera', 'alma', 'recibir', 'palo', 'rápido', 'arequipa', 'arriba', 'cuarto', 'segundo', '5-1', 'estatua', 'referencia', 'construir', 'solo', 'arco', 'delantero', 'ampliar', 'alucinante', 'capacidad', 'ventaja', 'personal', 'penal', 'medirlo', 'quinto', 'borde', 'regate', 'ocasión', 'así', 'callao', 'chocar', '2-0', 'aparecer', 'fernández', 'dep', 'golero', '100', 'melgar', 'darlar', 'potente', 'frente', 'fbcm', 'gran', 'fbc', 'estrella', 'finalizar', 'largo', 'fabio', 'encontrar', 'imposible', 'rojinegro', 'generar', 'triunfo', 'gol', 'pereyra', 'ser', 'tras', 'costar', 'poner', 'inteligente', 'fase', 'contar', 'tiempo', 'rematar', 'vez', 'suelo', 'tercero', 'recoger', 'anotar', 'baja', 'clasificación', 'magnífico', 'imparable', 'completado', 'disparar', '1-5', 'sonqoliga1', 'jesús', 'futbolperuano', 'completo', '90+4', '0-4', 'bien', 'felicidad', 'superioridad', 'volver']"
15,BINACIONAL,"['candidato', 'alientadesdecaso', 'cristian', 'cusco', 'bernardo', 'marlon', 'dominar', 'balón', 'ganado', 'aplastar', 'miguel', 'nuevo', 'deportivo', 'goleado', 'arequipeño', 'ahora', 'bordacahar', 'despeje', 'sumar', 'fecha', 'compañero', 'hacer', 'descuento', 'copadecampeón', 'ligafemenino', 'udh', 'ayacucho', 'líder', 'duelo', 'rival', 'hat-trick', 'pasar', 'clave', 'lile', 'consecutivo', 'binacional', 'echar', 'liga1betssonxgolperu', 'torneo', 'único', 'césar', 'equipo', 'grau', 'restar', '10:30hrs', 'jugar', 'marlondejesus', 'psg', 'liga1', '5-1', 'delantero', '13:15hrs', '1-4', 'partido', 'mannucci', 'regate', 'dos', 'cristal', 'san', 'temporada', 'peru', '13:00hrs', 'trujillo', 'dep', '100', 'martin', 'melgar', 'luz', 'adiós', 'alianza', 'fbcm', 'fbc', 'atl', 'largo', 'mimbela', 'fabio', 'sudamericana', 'asistencia', 'rojinegro', '15:30hrs', 'generar', 'jugada', 'gol', 'concreto', 'boy', 'pereyra', 'costar', 'vallejo', 'poner', 'liga', 'fase', 'suelo', 'bajar', 'toooooodo', 'marca', 'completado', '1-5', 'sonqoliga1', 'jesús', 'futbolperuano', '90+4', '11:00hrs', 'fundido', 'argentino', 'copa']"
16,BREÑA,"['mientras', 'valer', 'tolerar', 'agradable', 'pestilencia', 'llegar', 'hectárea', 'colectivo', 'aliado', 'cuento', 'congresista', 'culpa', 'criticar', 'ganar', 'seguidor', 'familia', 'emanar', 'alquilir', 'registrado', 'breña', 'inconcebible', 'poder', 'momento', 'gobernar', 'vida', 'hacer', 'cierre', 'unidaddefuerzaticas', 'pueblo', 'veyar', 'mil', 'chacra', 'policia', 'afectar', 'señora', 'registro', 'miserable', 'ojo', 'recordar', 'intentar', 'museo', 'pendiente', 'empezar', 'pasar', 'rata', 'allí', 'vecino', 'largar', 'entrar', 'menos', 'vivir', 'podrido', 'bravo', 'vacancia', 'pedelar', 'perú', 'tócale', 'escondido', 'títere', 'fujinfeliz', 'alrededor', 'saber', 'repudiar', 'decir', 'presidente', 'palacio', 'casa', 'aun', 'willax', 'segundo', 'quedar', 'sierra', 'guerra', 'realidad', 'solo', 'quién', 'vacanciapresidencialya', 'país', 'tratar', 'mandar', 'telo', 'sitio', 'despachar', 'debido', 'ayer', 'embargo', 'tranquilidad', 'hablar', 'librar', 'mierd', 'castillo', 'compartir', 'visita', 'aunque', 'pedro', 'temor', 'dirección', 'decidir', 'derecho', 'hueste', 'berenjena', 'creer', 'campaña', 'caer', 'propio', 'chileno', 'artífiz', 'mejor', 'huir', 'grande', 'atracar', 'familiar', 'cerrado', 'maduro', 'congestionado', 'venir', 'salitaenlascalles', 'nadie', 'torre', 'ver', 'andar', 'chota', 'ingresar', 'encima', 'encontrar', 'encerrado', 'cuándo', 'importante', 'seguir', 'forzar', 'genio', 'fujimontesinista', 'cerrón', 'margen', 'tagle', 'puerta', 'ligero', 'incómodo', 'verdadero', 'proclamado', 'caseta', 'presencia', 'privacidad', 'negocio', 'parte', 'anunciar', 'salir', 'reunido', 'ilegítimo', 'día', 'cerron', 'exponer', 'confirmar', 'vigilante', 'profesor', 'corregir', 'perder']"
17,BUSTOS,"['alientadesdecaso', 'concha', 'hoy', 'sacar', 'regalar', 'solución', 'previo', 'funcionamiento', 'benítez', 'ganar', 'pájaro', 'ahora', 'malo', 'fecha', 'poder', 'álvarez', 'hacer', 'dar', 'desiquilibrante', 'duelo', 'rival', 'aportar', 'buen', 'pasar', 'menos', 'evaluar', 'minuto', 'liga1betssonxgolperu', 'matzudar', 'equipo', 'difícil', 'rosa', 'jugar', 'ahí', 'solo', 'mejorar', 'partido', 'gustavo', 'mostrar', 'así', 'mal', 'inicio', 'respecto', 'creer', 'mejor', 'cotejo', 'siempre', 'alianza', 'deber', 'querer', 'entrenador', 'universidad', 'ver', 'respectivamente', 'tiempoextrar', 'jugador', 'tranquilo', 'santo', 'encontrar', 'enfrentar', 'ser', 'analizar', 'poner', 'ataque', 'fase', 'probar', 'entender', 'tiempo', 'igual', 'tercero', 'jugado', 'marca', 'pínto', 'buscar', 'car', 'cambio', 'diferencia', 'titular', 'generación', 'bien', 'distinto', 'profesor', 'considerar', 'replanteo', 'busto', 'forma']"
18,CACHITO,"['cachito', 'cachoso']"
19,CAMPO DE MARTE,"['recortar', 'naranja', 'defender', 'cabeza', 'sanitario', 'firmar', 'internacional', 'alterar', 'mientras', 'aquí', 'informar', 'agosto', 'hoy', 'libertad', 'ayer', 'democracia', 'peruano', 'tranquilidad', 'patria', 'terrorismo', 'reunir', 'jurar', 'gritar', 'esperar', 'fuerza', 'campo', 'dictador', 'pedir', 'macron', 'primero', 'perú', '1ro', 'región', 'alrededor', '3pm', 'poquísimo', 'marcha', 'organizado', 'luego', 'marte', 'sii', 'caminar', 'urgente', 'multitud', 'jurooo', 'terrorismonuncama', 'cúpula', 'gobierno', 'medio', 'francia', 'digno']"
20,CAN'T WAIT TO FIGHT,"['gato', 'jaja', 'asi', 'tres', 'amoooo', 'demasiado', 'hoy', 'versión', 'idea', 'com', 'esperar', 'sala', 'ciertoooo', 'espwraar', 'emocionar', 'holar', 'cielo', 'haber', 'the', 'album', 'moaaaassssss', 'blue', 'hacer', 'dar', 'despertar', 'concept', 'force', 'concep', 'hashtag', 'royal', 'hueningkai', 'avsgsvzbdfbd', 'dejar', 'buen', 'run', 'trauma', 'went', 'skater', 'maaaass', 'minuto', 'ahshabd', 'levantandose', 'primero', 'perú', 'ambulancia', 'pcs', 'omggggghhhhdjcfjbukk', 'ansioso', 'away', 'saber', 'oso', 'bulla', 'paro', 'txt', 'llevar', '010821', 'sk8', 'comprar', 'lanzamiento', 'falta', 'entero', 'you', 'toque', 'asgavvdbsbd', 'gente', 'desmayado', 'ritual', 'just', 'how', 'min', 'comoq', 'conocer', 'moaaaa', 'vlive', 'beomgyu', 'después', 'ruqyrowjdiw', 'normal', 'was', 'funcionar', 'beom', 'born', 'twitter', 'guys', 'foto', 'utilizar', 'interaccion', 'mundo', 'hour', 'minnnnn', 'puesto', 'tendencia', 'sticker', 'ver', 'respectivamente', 'calzonsillo', 'soobin', 'silencio', 'amar', 'skate', 'jajaja', 'mirar', 'concepto', 'recien', 'fight', 'cualquiera', 'matenmar', 'llamar', 'imaginar', 'brillito', 'asimilar', 'llorar', 'everlasting', 'enrealidad', 'dio', 'can', 'avanzaar', 'fight_or_escape', 'wait', 'ahdhsjjf', 'choi', 'info', 'from', 'peluche', 'shine', 'asiiii', 'weverse', 'have', 'trigre', 'mierfa', 'mio', 'seguro', 'link', 'bien', 'broke', 'temprano', 'fightorescape_fightphoto', 'ready', 'perder']"
21,CERRON,"['mismo', 'cabeza', 'sobrestimar', 'pesar', 'solución', 'sinvergüenza', 'compañía', 'influencia', 'agradecer', 'colectivo', 'aliado', 'congresista', 'acuerdo', 'presa', 'disculpa', 'ahora', 'rodilla', 'semana', 'ley', 'haber', 'bermejo', 'estudioso', 'poder', 'transparencia', 'francke', 'momento', 'peruanito', 'unidaddefuerzaticas', 'elegido', 'clan', 'ojo', 'voto', 'respetar', 'capitular', 'defender', 'situación', 'caviar', 'exactamente', 'judicial', 's/.376.930', 'primero', 'oportunidad', 'pacto', 'dividir', 'reciente', 'efecto', 'formar', 'madre', 'terrorista', 'cantinflado', 'reglamento', 'ejecutar', 'lucha', 'sentado', 'segundo', 'través', 'desacreditar', 'arrogancia', 'daño', 'asumir', 'eje', 'peor', 'dinámico', 'escenario', 'nunca', 'admitir', 'felizmente', 'lugar', 'año', 'mantener', 'cambiar', 'deberir', 'sincero', 'gabinete', 'patriota', 'jamás', '+0.48', 'bienestar', 'así', 'ideología', 'mare', 'exigencia', 'creer', 'plan', 'cometelar', 'campaña', 'dirigir', 'leer', 'propio', 'tío', 'aconsejar', 'km2', 'keiko', 'cagado', 'siempre', 'innegable', 'querer', 'nadie', 'deber', 'comechado', 'gran', '2006', 'ovario', 'ver', 'fortalecer', 'cerronnuncama', 'antipatriota', 'pernicioso', 'contener', 'perjudicar', 'integridad', 'generar', 'cuándo', 'votar', 'vacar', 'reacción', 'ser', 'desligar', 'pnp', 'cerrón', 'llamar', 'chupalapiz', 'revelar', 'dirigente', 'pandemia', 'spr', 'luminoso', 'bellidorenunciaya', 'inversión', 'negocio', 'malgastar', 'udo', 'oír', 'verónico', 'irresponsable', 'centro', 'carácter', 'escuchar', 'mio', 'delincuente', 'imponer', 'congelar', 'volver', 'etcétera', 'innombrable', 'agenda', 'vendido', 'crisis', 'estupidez', 'amigo', 'meter', 'nacionalista', 'crjo', 'interesar', 'mérito', 'cumplir', 'excusa', 'chuli', 'sobonerio', 'gas', 'sanguijuela', 'hacer', 'valorar', 'supuestamente', 'xuxa', 'incluso', 'pueblo', 'mil', 'exgobernador', 'regional', 'imbecil', 'corrupción', 'pinta', 'líder', '.............', 'cabo', 'señor', 'mos', 'intentar', 'coto', 'sentenciar', 'rata', 'esfuerzo', 'causado', 'ideario', 'mercantilista', 'denmar', 'vivo', 'rectificación', 'marginal', 'dias.exministro', 'médico', 'allá', 'ahh', 'títere', 'don', 'pasillo', 'pasado', 'pensar', 'parecer', 'injerencia', 'decir', 'reinvertir', 'careta', 'ahí', 'objetivo', 'acusar', 'llevar', 'estrategia', 'circo', 'confianza', 'solo', 'indignación', 'sentencia', 'presente', 'tormenta', 'tremendoo', 'izquierda', 'retirar', 'mediocre', 'ocasionar', 'verdad', 'ejecutivo', 'opinar', 'peruano', 'mierda', 'gente', 'respeto', 'fujimorismo', 'luna', 'loco', 'tomar', 'enemigo', 'visita', 'dos', 'respaldado', 'apelar', 'pichi', 'lista', 'constante', 'vacanciapedrocastillo', 'hdmp', 'doble', 'original', 'mes', 'renegociar', 'cosa', 'bellido', 'derecha', 'payaso', 'puesto', 'frente', 'diferente', 'desgracia', 'hora', 'gobierno', 'deslindar', 'gob', 'uif', 'chikar', 'seguir', 'mirar', 'utilidad', 'notar', 'indira', 'reunir', 'progre', 'candidata', 'dirigiendotar', 'entender', 'vez', 'jurado', 'regresar', 'cállate', 'infeliz', 'importar', 'desencadenante', 'sendero', 'parte', 'cuanto', 'día', 'protegido', 'contexto', 'viejo', 'sector', 'mayoría', 'bien', 'distinto', 'asno', 'nano', 'machista', 'hecho', 'república', 'candidato', 'tres', 'lamentablemente', 'garantizar', 'bbva', 'asuntosjudiciales.partidos', 'sacar', 'subestimar', 'hoy', 'denegacion', 'bancada', 'transplante', 'idea', 'terminar', 'llegar', 'aprista', 'esperar', 'siempre…', 'arrastrar', 'premier', 'imbécil', 'dejatir', 'espalda', 'criticar', 'total', 'responder', 'lado', 'irresponsabilidad', 'avisar', 'económico', 'adecuado', 'denunciar', 'homofobico', 'incompetente', 'jefe', 'prensa', 'vladimir', 'indignar', 'preso', 'politica', 'evitar', 'honorable', 'empezar', 'castlo', 'dejar', 'anterior', 'mamando', 'buen', 'colocado', '.....', 'deshacer', 'jajajajajajajar', 'palabra', 'denuncia', 'vacancia', 'perú', 'proteger', 'congreso', '=cerrón', 'demostrar', 'tener', 'cargo', 'titere', 'materializar', 'saber', 'lograr', 'plata', 'desahuevo', 'corrupto', 'cerrón-castillo', 'miércoles', 'quién', 'jajajaa', 'perdón', 'país', 'huevar', 'pdte', 'partido', 'yehude', 'romper', 'trabajo', 'contrario', 'despachar', 'ayer', 'bestia', 'librar', 'privado', 'dicho', 'improvisar', 'después', 'chola', 'cuestión', 'trabajar', 'limpio', '100', 'fácil', 'camino', 'determinar', 'invertir', 'vladi', 'error', 'apoyar', 'puño', 'nabucodonosor', 'show', '......', 'afuera', 'encontrar', 'siquiera', 'persona', 'representar', 'necesitar', 'sabio', 'presentar', 'retrasado', 'amplificado', 'cualquiera', 'progresista', 'poner', 'exacto', 'contar', 'llorar', 'deslinde', 'asco', 'verdadero', 'tal', 'igual', 'política', 'reserva', 'castle', 'gracias', 'reducir', 'demócrata', 'claro', 'andino', 'cerron', 'diciembre', 'comunista', 'ministerio', 'cúpula', '000', 'economia', 'y/o', 'favor', 'nota', 'tio', 'terruco', 'lavar', 'hombre', 'olvido', 'cero', 'tampoco', 'terrorismo', 'diablo', 'oponer', 'dictador', 'inmundicia', 'ganar', 'idiota', 'filoterruco', 'ministro', 'opción', 'breña', 'tipo', 'vergar', 'marcha', 'hacia', 'flor', 'socio', 'responsabilidad', 'gobernar', 'formal', 'consultivo', 'caída', 'operación', 'veyar', 'alejar', 'dar', 'lesbiano', 'cárcel', 'sorprender', 'lógico', 'lejía', 'tomado', 'merecer', 'medio', 'señora', 'comunismo', 'camarada', 'jajajaja', 'pertenecer', 'incertidumbre', 'posible', 'unir', 'popularidad', 'expectoralo', 'golpe', 'desempleo', 'desear', 'pasar', 'mano', 'entrar', 'menos', 'vivir', 'minuto', 'pedir', 'bravo', 'certeza', 'ciudadanía', 'pena', 'indignado', 'parásito', 'pinturitar', 'manera', 'recibir', 'alberto', 'voz', 'jajajaj', 'presidente', 'palacio', 'cómo', 'limpieza', 'dinastia', 'frankle', 'casa', '1ra', 'cagar', 'fujimorista', 'trasladar', 'bastante', 'quedar', 'endiosar', 'cuyo', 'diferenciar', 'ninguno', 'imagen', 'porq', 'vacanciapresidencialya', 'mandar', 'capacidad', 'priorizar', 'sólo', 'misoginia', 'ignorante', 'mana', 'recién', 'democracia', 'ahorro', 'hablar', 'decisión', 'oponente', 'castillo', 'movadech', 'pedro', 'decidir', 'conseguir', 'aparecer', 'banda', 'bolivia', 'patrón', 'maduro', 'formular', 'arranchar', 'mas', 'caballazo', 'corazón', 'misogino', 'difunde', 'radical', 'autogol', 'coherente', 'homofobia', 'público', 'vacado', 'destruir', 'lesivo', 'narrativa', 'vuelta', 'actividad', 'bruto', 'imposición', 'xconstitucion', 'totalmente', 'atento', 'perulibrar', 'calzón', 'libre', 'fujimori', 'aún', 'fujimorinuncama', 'basura', 'presencia', 'maestro', '376', 'salir', 'llamado', 'promesa', 'sometido', 'confirmar', 'ofrecer', 'moral', 'cariñito', 'vía', 'rctm', 'pésimo', 'aceptar', 'juego', 'exploración', 'devaluar', 'durar', 'sandez']"
22,CHIMBOTE,"['tbnto', 'arribaalianza', 'chimbote', 'noah', 'alaaar', 'sentir', 'jakakja', 'hijo', 'hoy', 'liga1betssonxgolperu', 'ganar', 'vente', 'allá', 'mrda', 'saludar']"
